"trial_type","trial_index","rt","subject","turk_id","stimulus","key_press"
"text","0","2054","subject_d27422f6a21524a179f95486325952b1","matt","",""
"text","0","2580","subject_d27422f6a21524a179f95486325952b1","matt","",""
"single-stim","0","170222.5169999997,170910.31299999988,171246.48299999992,171446.34999999971,171750.52099999995,171998.49099999983,172206.56599999985,172350.5299999997,172534.68299999987","subject_d27422f6a21524a179f95486325952b1","matt","audio/Segment.3minTrain.mp3","32"
"text","0","14005","subject_d27422f6a21524a179f95486325952b1","matt","",""
"single-stim","0","3095.487000000052","subject_d27422f6a21524a179f95486325952b1","matt","audio/bk4_fw4.mp3","50"
"single-stim","1","3429.356000000087","subject_d27422f6a21524a179f95486325952b1","matt","audio/fw5_bk5.mp3","50"
"single-stim","2","3340.5269999998272","subject_d27422f6a21524a179f95486325952b1","matt","audio/bk3_fw3.mp3","49"
"single-stim","3","3317.8539999998757","subject_d27422f6a21524a179f95486325952b1","matt","audio/fw2_bk2.mp3","50"
"single-stim","4","3133.9159999997937","subject_d27422f6a21524a179f95486325952b1","matt","audio/bk5_fw5.mp3","49"
"single-stim","5","3521.5260000000126","subject_d27422f6a21524a179f95486325952b1","matt","audio/bk6_fw6.mp3","50"
"single-stim","6","3590.139999999781","subject_d27422f6a21524a179f95486325952b1","matt","audio/fw6_bk6.mp3","49"
"single-stim","7","3384.8099999999977","subject_d27422f6a21524a179f95486325952b1","matt","audio/fw1_bk1.mp3","50"
"single-stim","8","3390.6170000000275","subject_d27422f6a21524a179f95486325952b1","matt","audio/fw3_bk3.mp3","49"
"single-stim","9","3211.9289999995963","subject_d27422f6a21524a179f95486325952b1","matt","audio/bk1_fw1.mp3","50"
"single-stim","10","3321.0910000002477","subject_d27422f6a21524a179f95486325952b1","matt","audio/fw4_bk4.mp3","49"
"single-stim","11","3126.1810000000405","subject_d27422f6a21524a179f95486325952b1","matt","audio/bk2_fw2.mp3","49"
