"trial_type","trial_index","rt","subject","turk_id","stimulus","key_press"
"text","0","1766","subject_4b6670829eef42969acd89bd15dd5334","luca","",""
"text","0","12007","subject_4b6670829eef42969acd89bd15dd5334","luca","",""
"text","1","1172","subject_4b6670829eef42969acd89bd15dd5334","luca","",""
"text","2","8987","subject_4b6670829eef42969acd89bd15dd5334","luca","",""
"text","0","16589","subject_4b6670829eef42969acd89bd15dd5334","luca","",""
"single-stim","0","3992.9840000113472","subject_4b6670829eef42969acd89bd15dd5334","luca","audio/fw4_bk4.mp3","49"
"single-stim","1","3217.6280000130646","subject_4b6670829eef42969acd89bd15dd5334","luca","audio/fw3_bk3.mp3","50"
"single-stim","2","3215.5820000043605","subject_4b6670829eef42969acd89bd15dd5334","luca","audio/fw5_bk5.mp3","49"
"single-stim","3","3397.289999993518","subject_4b6670829eef42969acd89bd15dd5334","luca","audio/bk5_fw5.mp3","49"
"single-stim","4","3292.0020000019576","subject_4b6670829eef42969acd89bd15dd5334","luca","audio/bk1_fw1.mp3","50"
"single-stim","5","3087.091999972472","subject_4b6670829eef42969acd89bd15dd5334","luca","audio/fw6_bk6.mp3","49"
"single-stim","6","3152.8699999907985","subject_4b6670829eef42969acd89bd15dd5334","luca","audio/bk6_fw6.mp3","50"
"single-stim","7","3556.966999982251","subject_4b6670829eef42969acd89bd15dd5334","luca","audio/bk4_fw4.mp3","49"
"single-stim","8","3485.3839999996126","subject_4b6670829eef42969acd89bd15dd5334","luca","audio/bk2_fw2.mp3","49"
"single-stim","9","3712.6939999870956","subject_4b6670829eef42969acd89bd15dd5334","luca","audio/bk3_fw3.mp3","50"
"single-stim","10","5051.40600001323","subject_4b6670829eef42969acd89bd15dd5334","luca","audio/fw1_bk1.mp3","49"
"single-stim","11","4998.267999995733","subject_4b6670829eef42969acd89bd15dd5334","luca","audio/fw2_bk2.mp3","50"
